Time (s),x Accel,y Accel,z Accel,x Vel,y Vel,x Dis,y Dis,Interval Index Range,Interval #,Last Interval Value X,Last Interval Value Y,Offset X,Offset Y,Corrected x Dis,Corrected y Dis
1.5,0.101940593,-0.084028819,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.101881543,-0.082409716,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.101819319,-0.080817774,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101758416,-0.079258372,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101701839,-0.077733714,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101650754,-0.07624534,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101604619,-0.074796567,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101561653,-0.073393912,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101519399,-0.072046848,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101475157,-0.070766316,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101426315,-0.069562909,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101370648,-0.06844532,0,0.158376602,-0.176472559,0.134403872,-0.153427639,,,,,,,0.134403872,-0.153427639
1.6,0.101306528,-0.06741935,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.101233014,-0.066487841,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.101149782,-0.065651586,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.101056956,-0.064910673,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.10095503,-0.06426552,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.100844831,-0.063717228,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.100727322,-0.06326729,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.10060329,-0.062916839,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.100473213,-0.062665904,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.100337481,-0.062513018,0,0.168503579,-0.183167919,0.15125423,-0.171744431,,,,,,,0.15125423,-0.171744431
1.7,0.100196827,-0.062455274,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.100052615,-0.062488729,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.099906758,-0.062608886,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.09976135,-0.062810938,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.099618282,-0.063089683,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.099479008,-0.063439273,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.099344485,-0.063852954,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.09921522,-0.064323009,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.099091312,-0.064840957,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.098972435,-0.065397947,0,0.178516052,-0.189415119,0.169105835,-0.190685943,,,,,,,0.169105835,-0.190685943
1.8,0.098857763,-0.065985184,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.098745991,-0.066594165,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.098635478,-0.067216481,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.098524509,-0.0678434,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.098411542,-0.06846577,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.09829536,-0.069074515,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
